,sensor mode,resolution,codec,sampling,framerate,160GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 12
18,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,120p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
19,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,100p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
20,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,60p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
21,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,50p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
22,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
23,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
24,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,120p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
25,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,100p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
26,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
27,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
28,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,30p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
29,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,25p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
30,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,24p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
31,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,60p,91 min,16:9,10 bit,222 Mb/s,MP4,"CFexpress Type A, SD",,
32,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,50p,109 min,16:9,10 bit,185 Mb/s,MP4,"CFexpress Type A, SD",,
33,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,30p,181 min,16:9,10 bit,111 Mb/s,MP4,"CFexpress Type A, SD",,
34,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,25p,215 min,16:9,10 bit,93 Mb/s,MP4,"CFexpress Type A, SD",,
35,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,24p,225 min,16:9,10 bit,89 Mb/s,MP4,"CFexpress Type A, SD",,
36,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,240p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
37,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,200p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
38,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,120p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
39,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,100p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
40,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,60p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
41,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,50p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
42,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,30p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
43,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,25p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
44,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,24p,265 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
45,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,120p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
46,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,100p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
47,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
48,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
49,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,30p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
50,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,25p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
51,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,24p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
52,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
53,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
54,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,120p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
55,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,100p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
56,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,60p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
57,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,50p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
58,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
59,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
60,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,120p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
61,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,100p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
62,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
63,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
64,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,30p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
65,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,25p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
66,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,24p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
67,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,60p,91 min,16:9,10 bit,222 Mb/s,MP4,"CFexpress Type A, SD",,
68,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,50p,109 min,16:9,10 bit,185 Mb/s,MP4,"CFexpress Type A, SD",,
69,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,30p,181 min,16:9,10 bit,111 Mb/s,MP4,"CFexpress Type A, SD",,
70,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,25p,215 min,16:9,10 bit,93 Mb/s,MP4,"CFexpress Type A, SD",,
71,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,24p,225 min,16:9,10 bit,89 Mb/s,MP4,"CFexpress Type A, SD",,
