,sensor mode,resolution,codec,sampling,framerate,160GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 12
15,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,50p,133 min,16:9,10 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
16,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,30p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
17,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,25p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
18,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,24p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
19,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,60p,255 min,16:9,10 bit,75 Mb/s,MP4,"CFexpress Type A, SD",,
20,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,50p,255 min,16:9,10 bit,75 Mb/s,MP4,"CFexpress Type A, SD",,
21,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,30p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
22,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,25p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
23,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,24p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
24,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,60p,401 min,16:9,10 bit,45 Mb/s,MP4,"CFexpress Type A, SD",,
25,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,50p,401 min,16:9,10 bit,45 Mb/s,MP4,"CFexpress Type A, SD",,
26,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,30p,605 min,16:9,10 bit,30 Mb/s,MP4,"CFexpress Type A, SD",,
27,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,25p,605 min,16:9,10 bit,30 Mb/s,MP4,"CFexpress Type A, SD",,
28,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,24p,605 min,16:9,10 bit,30 Mb/s,MP4,"CFexpress Type A, SD",,
29,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,120p,71 min,16:9,10 bit,280 Mb/s,MP4,"CFexpress Type A, SD",,
30,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,100p,71 min,16:9,10 bit,280 Mb/s,MP4,"CFexpress Type A, SD",,
31,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,60p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
32,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,50p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
33,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,30p,142 min,16:9,10 bit,140 Mb/s,MP4,"CFexpress Type A, SD",,
34,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,25p,142 min,16:9,10 bit,140 Mb/s,MP4,"CFexpress Type A, SD",,
35,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:2,24p,199 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
36,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,120p,101 min,16:9,8 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
37,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,100p,101 min,16:9,8 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
38,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,60p,133 min,16:9,8 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
39,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,50p,133 min,16:9,8 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
40,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,30p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
41,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,25p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
42,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,24p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
43,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,30p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
44,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,25p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
45,Full Format,4K UHD (3840 x 2160),XAVC S 4K,4:2:0,24p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
46,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,60p,34 min,16:9,10 bit,600 Mb/s,MP4,CFexpress Type A,,
47,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,50p,41 min,16:9,10 bit,500 Mb/s,MP4,CFexpress Type A,,
48,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,30p,68 min,16:9,10 bit,300 Mb/s,MP4,"CFexpress Type A, SD",,
49,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,25p,82 min,16:9,10 bit,250 Mb/s,MP4,"CFexpress Type A, SD",,
50,Full Format,4K UHD (3840 x 2160),XAVC S-I 4K,4:2:2,24p,85 min,16:9,10 bit,240 Mb/s,MP4,"CFexpress Type A, SD",,
51,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,240p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
52,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,200p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
53,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,120p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
54,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,100p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
55,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,60p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
56,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,50p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
57,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,30p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
58,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,25p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
59,Full Format,HD (1920 x 1080),XAVC S HD,4:2:2,24p,265 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
60,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,120p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
61,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,100p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
62,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
63,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
64,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,30p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
65,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,25p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
66,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,24p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
67,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
68,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
69,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,120p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
70,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,100p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
71,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,60p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
72,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,50p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
73,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
74,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
75,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,120p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
76,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,100p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
77,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
78,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
79,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,30p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
80,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,25p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
81,Full Format,HD (1920 x 1080),XAVC S HD,4:2:0,24p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
82,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,60p,91 min,16:9,10 bit,222 Mb/s,MP4,"CFexpress Type A, SD",,
83,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,50p,109 min,16:9,10 bit,185 Mb/s,MP4,"CFexpress Type A, SD",,
84,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,30p,181 min,16:9,10 bit,111 Mb/s,MP4,"CFexpress Type A, SD",,
85,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,25p,215 min,16:9,10 bit,93 Mb/s,MP4,"CFexpress Type A, SD",,
86,Full Format,HD (1920 x 1080),XAVC S-I HD,4:2:2,24p,225 min,16:9,10 bit,89 Mb/s,MP4,"CFexpress Type A, SD",,
87,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,240p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
88,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,200p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
89,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,120p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
90,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,100p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
91,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,60p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
92,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,50p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
93,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,30p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
94,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,25p,365 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
95,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:2,24p,265 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
96,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,120p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
97,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,100p,199 min,16:9,8 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
98,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
99,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
100,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,30p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
101,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,25p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
102,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,24p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
103,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
104,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
105,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,120p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
106,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,100p,311 min,16:9,8 bit,60 Mb/s,MP4,"CFexpress Type A, SD",,
107,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,60p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
108,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,50p,646 min,16:9,8 bit,25 Mb/s,MP4,"CFexpress Type A, SD",,
109,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,240p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
110,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,200p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
111,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,120p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
112,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,100p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
113,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,60p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
114,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,50p,365 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",S&Q,
115,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,30p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
116,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,25p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
117,APS-C S35,HD (1920 x 1080),XAVC S HD,4:2:0,24p,1009 min,16:9,8 bit,16 Mb/s,MP4,"CFexpress Type A, SD",,
118,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,60p,91 min,16:9,10 bit,222 Mb/s,MP4,"CFexpress Type A, SD",,
119,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,50p,109 min,16:9,10 bit,185 Mb/s,MP4,"CFexpress Type A, SD",,
120,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,30p,181 min,16:9,10 bit,111 Mb/s,MP4,"CFexpress Type A, SD",,
121,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,25p,215 min,16:9,10 bit,93 Mb/s,MP4,"CFexpress Type A, SD",,
122,APS-C S35,HD (1920 x 1080),XAVC S-I HD,4:2:2,24p,225 min,16:9,10 bit,89 Mb/s,MP4,"CFexpress Type A, SD",,
