,resolution,codec,sampling,framerate,128GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 11
35,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,60p,110 min,16:9,8 bit,150 Mb/s,MOV,SD,,
36,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,50p,110 min,16:9,8 bit,150 Mb/s,MOV,SD,,
37,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,30p,110 min,16:9,10 bit,150 Mb/s,MOV,SD,,
38,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,25p,110 min,16:9,10 bit,150 Mb/s,MOV,SD,,
39,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:2,24p,110 min,16:9,10 bit,150 Mb/s,MOV,SD,,
40,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,30p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
41,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,25p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
42,4K UHD (3840 x 2160),MPEG-4 AVC/H.264,4:2:0,24p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
43,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,30p,42 min,4:3,10 bit,400 Mb/s,MP4,SD (UHS II),,
44,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,25p,42 min,4:3,10 bit,400 Mb/s,MP4,SD (UHS II),,
45,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,24p,42 min,4:3,10 bit,400 Mb/s,MP4,SD (UHS II),,
46,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,60p,110 min,4:3,8 bit,150 Mb/s,MP4,SD,,
47,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,50p,110 min,4:3,8 bit,150 Mb/s,MP4,SD,,
48,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,30p,110 min,4:3,10 bit,150 Mb/s,MP4,SD,,
49,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,25p,110 min,4:3,10 bit,150 Mb/s,MP4,SD,,
50,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,24p,110 min,4:3,10 bit,150 Mb/s,MP4,SD,,
51,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,30p,168 min,4:3,8 bit,100 Mb/s,MP4,SD,,
52,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,25p,168 min,4:3,8 bit,100 Mb/s,MP4,SD,,
53,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,24p,168 min,4:3,8 bit,100 Mb/s,MP4,SD,,
54,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,30p,42 min,4:3,10 bit,400 Mb/s,MOV,SD (UHS II),,
55,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,25p,42 min,4:3,10 bit,400 Mb/s,MOV,SD (UHS II),,
56,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,24p,42 min,4:3,10 bit,400 Mb/s,MOV,SD (UHS II),,
57,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,60p,110 min,4:3,8 bit,150 Mb/s,MOV,SD,,
58,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,50p,110 min,4:3,8 bit,150 Mb/s,MOV,SD,,
59,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,30p,110 min,4:3,10 bit,150 Mb/s,MOV,SD,,
60,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,25p,110 min,4:3,10 bit,150 Mb/s,MOV,SD,,
